date	account	category	amount	currency	converted amount	currency	description
17.08.2023	Наличные	Еда	-30	UAH	-30	UAH	
18.08.2023	Наличные	Подарки	-100	UAH	-100	UAH	Работа ДР
18.08.2023	Наличные	Еда	-20	UAH	-20	UAH	
18.08.2023	Наличные	Еда	-117	UAH	-117	UAH	
18.08.2023	Наличные	Транспорт	-15	UAH	-15	UAH	Проезд
18.08.2023	Наличные	Здоровье	-125	UAH	-125	UAH	Аптека мне
21.08.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
21.08.2023	Наличные	Транспорт	-15	UAH	-15	UAH	Проезд
22.08.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
23.08.2023	Наличные	Транспорт	-15	UAH	-15	UAH	Проезд
23.08.2023	Наличные	Еда	-57	UAH	-57	UAH	
23.08.2023	Наличные	Еда	-46	UAH	-46	UAH	
24.08.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
24.08.2023	Наличные	Еда	-165	UAH	-165	UAH	
25.08.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
27.08.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
27.08.2023	Наличные	Здоровье	-20	UAH	-20	UAH	Аптека
28.08.2023	Наличные	Транспорт	-20	UAH	-20	UAH	Проезд
28.08.2023	Наличные	Еда	-120	UAH	-120	UAH	
29.08.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
30.08.2023	Наличные	Еда	-60	UAH	-60	UAH	Малина буряк
30.08.2023	Наличные	Здоровье	-790	UAH	-790	UAH	Анализы мне
30.08.2023	Наличные	Еда	-65	UAH	-65	UAH	
30.08.2023	Наличные	Еда	-10	UAH	-10	UAH	
30.08.2023	Наличные	Еда	-20	UAH	-20	UAH	
30.08.2023	Наличные	Еда	-60	UAH	-60	UAH	
30.08.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято у мамы в долг
31.08.2023	Наличные	Сбережения	50	UAH	50	UAH	Взято у Вити
31.08.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
01.09.2023	Наличные	Транспорт	-50	UAH	-50	UAH	Проезд
01.09.2023	Наличные	Здоровье	-50	UAH	-50	UAH	Аптека мне
01.09.2023	Наличные	Здоровье	-54	UAH	-54	UAH	Аптека мне
02.09.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
02.09.2023	Наличные	Здоровье	-880	UAH	-880	UAH	Анализы мне
02.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
02.09.2023	Наличные	Счета	-70	UAH	-70	UAH	Дала Вите
02.09.2023	Наличные	Сбережения	2000	UAH	2000	UAH	Взято в тумбочке
02.09.2023	Наличные	Подарки	-2000	UAH	-2000	UAH	Алла др
04.09.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
04.09.2023	Наличные	Еда	-212	UAH	-212	UAH	
04.09.2023	Наличные	Еда	-16	UAH	-16	UAH	
04.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
04.09.2023	Наличные	Еда	-62	UAH	-62	UAH	
05.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
05.09.2023	Наличные	Еда	-30	UAH	-30	UAH	
06.09.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
06.09.2023	Наличные	Здоровье	-400	UAH	-400	UAH	Узи щитовидка киев
06.09.2023	Наличные	Здоровье	-500	UAH	-500	UAH	Ендокринолог киев
06.09.2023	Наличные	Еда	-25	UAH	-25	UAH	
07.09.2023	Наличные	Еда	-39	UAH	-39	UAH	
07.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
07.09.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Взято в тумбочке
07.09.2023	Наличные	Еда	-24	UAH	-24	UAH	
07.09.2023	Наличные	Здоровье	-140	UAH	-140	UAH	Аптека мне
08.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
09.09.2023	Наличные	Еда	-30	UAH	-30	UAH	
09.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
09.09.2023	Наличные	Здоровье	-75	UAH	-75	UAH	Мама аптека в долг
09.09.2023	Наличные	Развлечения	-225	UAH	-225	UAH	Сиг
09.09.2023	Наличные	Еда	-78	UAH	-78	UAH	Подсолнечное масло
09.09.2023	Наличные	Еда	-55	UAH	-55	UAH	Сметана
09.09.2023	Наличные	Еда	-25	UAH	-25	UAH	Батон
11.09.2023	Наличные	Еда	-26	UAH	-26	UAH	
11.09.2023	Наличные	Здоровье	-322	UAH	-322	UAH	Мама вптека в долг
11.09.2023	Наличные	Здоровье	-49	UAH	-49	UAH	Мама вптека в долг
11.09.2023	Наличные	Развлечения	-77	UAH	-77	UAH	Сигареты
11.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
12.09.2023	Наличные	Гигиена	-350	UAH	-350	UAH	Крем вода
12.09.2023	Наличные	Развлечения	-77	UAH	-77	UAH	Сигареты
12.09.2023	Наличные	Гигиена	-65	UAH	-65	UAH	Ватные диски
12.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
12.09.2023	Наличные	Сбережения	1000	UAH	1000	UAH	Дала мама
13.09.2023	Наличные	Жилье	-50	UAH	-50	UAH	Хозтовари
13.09.2023	Наличные	Развлечения	-77	UAH	-77	UAH	Сигареты
13.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
14.09.2023	Наличные	Развлечения	-78	UAH	-78	UAH	Сигареты
14.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
14.09.2023	Наличные	Еда	-20	UAH	-20	UAH	
15.09.2023	Наличные	Развлечения	-79	UAH	-79	UAH	Сигареты
15.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
16.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
16.09.2023	Наличные	Еда	-100	UAH	-100	UAH	
18.09.2023	Наличные	Транспорт	-30	UAH	-30	UAH	Проезд
18.09.2023	Наличные	Еда	-34	UAH	-34	UAH	
18.09.2023	Наличные	Гигиена	-87	UAH	-87	UAH	Космо мне
18.09.2023	Наличные	Еда	-263	UAH	-263	UAH	
19.09.2023	Наличные	Здоровье	-120	UAH	-120	UAH	Аптека
